
===========================================================================
SCAN TIME: 2026-03-27 02:38:38
ANOMALIES FOUND: 16
===========================================================================
PID        Name                      CPU %      Mem %      Reason
---------------------------------------------------------------------------
554        Google Chrome             0.0        2.61       High Mem (2.61%)
565        Dock                      0.0        0.28       Mem spike vs baseline (0.13% avg)
617        WiFiAgent                 0.0        0.15       Mem spike vs baseline (0.06% avg)
685        Google Chrome Helper      0.0        0.73       Mem spike vs baseline (0.34% avg)
687        Google Chrome Helper      0.0        0.9        Mem spike vs baseline (0.34% avg)
58302      Google Chrome Helper (Re  0.0        1.21       Mem spike vs baseline (0.55% avg)
73055      Google Chrome Helper (Re  0.0        6.05       High Mem (6.05%), Mem spike vs baseline (0.55% avg)
73898      Code Helper (Renderer)    0.0        1.9        Mem spike vs baseline (0.69% avg)
73924      Code Helper (Plugin)      0.0        0.87       Mem spike vs baseline (0.41% avg)
74010      Code Helper (Plugin)      0.0        0.87       Mem spike vs baseline (0.41% avg)
74884      ContextService            0.0        0.22       Mem spike vs baseline (0.06% avg)
74885      CategoriesService         0.0        0.17       Mem spike vs baseline (0.06% avg)
74887      CategoriesService         0.0        0.17       Mem spike vs baseline (0.06% avg)
74891      CategoriesService         0.0        0.14       Mem spike vs baseline (0.06% avg)
74911      Keychain Circle Notifica  0.0        0.2        Mem spike vs baseline (0.09% avg)
74922      Google Chrome Helper (Re  0.0        1.22       Mem spike vs baseline (0.55% avg)
